Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alexandria Greenlee;F;SBD;Raw;26.5;24-34;24-39;FR-O;83.8;90;100;105;112.5;;112.5;60;62.5;65;;65;140;142.5;145;;145;322.5;1;297.09;287.93;251.76;60.96;Yes;USA;SC;USAPL;;2022-09-17;USA;SC;;Words Have Weight
Alexandria Greenlee;F;SBD;Raw;26.5;24-34;24-39;FR-O;81.9;82.5;92.5;97.5;102.5;;102.5;50;55;-62.5;;55;125;132.5;140;;140;297.5;2;277.10;268.77;235.37;56.75;Yes;USA;SC;USAPL;;2022-05-07;USA;SC;;Ladies of Steel
