Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Alejandro Barba;M;SBD;Single-ply;23.5;24-34;24-39;M-C;107.22;110;275;295;-302.5;;295;-160;-160;160;;160;247.5;260;270;;270;725;7;433.63;430.15;410.86;73.41;Yes;USA;TX;USAPL;;2022-03-26;USA;IL;Lombard;Collegiate Nationals
Alejandro Barba;M;SBD;Single-ply;23.5;24-34;24-39;M-C;107.2;110;227.5;240;250;;250;125;130;132.5;;132.5;235;245;260;;260;642.5;1;384.31;381.22;364.13;65.06;Yes;USA;TX;USAPL;;2022-02-05;USA;TX;;Aggie Showdown
Alejandro Barba;M;SBD;Raw;21.5;20-23;19-23;MR-C;101.6;105;192.5;205;215;;215;115;122.5;125;;125;232.5;245;252.5;;252.5;592.5;2;362.22;358.35;342.20;74.29;Yes;USA;TX;USAPL;IPF;2020-02-23;USA;TX;;Aggie Showdown
Alejandro Barba;M;SBD;Raw;20.5;20-23;19-23;MR-C;95.8;105;192.5;202.5;212.5;;212.5;110;120;-127.5;;120;205;-230;;;205;537.5;1;337.24;333.09;318.47;69.31;Yes;USA;TX;USAPL;IPF;2019-11-23;USA;TX;;Longhorn Open
Alejandro Barba;M;SBD;Raw;20.5;20-23;19-23;MR-Jr;100.8;105;180;192.5;200;;200;102.5;112.5;122.5;;122.5;205;220;245;;245;567.5;3;348.11;344.29;328.80;71.42;Yes;USA;TX;USAPL;IPF;2019-07-06;USA;TX;;Summer Power Fest
