name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Stefan Pagelsen;stefanpagelsen;ste_fan_p;BY;BVDK;26.10.2019;Deutschland;M;27;240;172.5;300.5
Stephan Berger;stephanberger;None;NRW;BVDK;26.09.2020;None;M;22;290;150;330
Tim Daniel Konertz;timdanielkonertz;cpt_timmy;None;BVDK;29.03.2019;Deutschland;M;29;277.5;170;327.5
Mara Hames;marahames;None;None;BVDK;21.08.2022;Deutschland;W;24;175;95;185
Markus Köberle;markuskoberle;None;None;BVDK;10.04.2022;Deutschland;M;28;220;150;275
Gundula Fiona Sommer von Bachhaus;gundulafionasommervonbachhaus;None;None;Germany-UA;01.12.2008;Deutschland;W;27;137.5;117.5;200
Dominik Herr;dominikherr;akktraktion;BW;BVDK;18.12.2021;None;M;27;227.5;115;290
Tamara Thomsen;tamarathomsen;tamara.thomsen;None;IPF;14.06.2017;Deutschland;W;34;162.5;90;180
Simon Benzler;simonbenzler;None;None;Germany-UA;01.12.2008;Deutschland;M;;325;182.5;342.5
Jewgenij Kondraschow;jewgenijkondraschow;None;None;Germany-UA;09.12.2006;Deutschland;M;;305;200;335
Patricia Friedrich;patriciafriedrich;None;None;WUAP;09.10.2014;Deutschland;W;37;180;110;187.5
Martin Massat;martinmassat;smarmas;None;BVDK;21.08.2022;Deutschland;M;36;265;167.5;295
Lars Stöwesandt;larsstowesandt;None;None;UPC-Germany;01.03.2017;Deutschland;M;37;262.5;205;301.5
Sebastian Preine;sebastianpreine;None;None;BVDK;30.04.2021;Deutschland;M;26;220;140;280
Eva Butzen;evabutzen;None;None;BVDK;21.08.2022;Deutschland;W;29;185;102.5;212.5
Taras Tarasenko;tarastarasenko;None;NRW;BVDK;15.07.2022;None;M;39;290;200;315
Veronika Schulze;veronikaschulze;veromariie;None;BVDK;29.09.2021;Deutschland;W;23;163;100;165
Vincent Curth;vincentcurth;None;None;BVDK;25.10.2014;Deutschland;M;23;232.5;177.5;265
Melanie Wirtz;melaniewirtz;mellellell;NRW;Germany-UA;04.10.2019;Deutschland;W;22;157.5;95;200
Mark Traut;marktraut;mark_trt;None;BVDK;29.03.2019;Deutschland;M;24;267.5;157.5;300
Werner Torben;wernertorben;None;None;GPC;14.05.2012;Deutschland;M;;260;190;300
Thomas Manogg;thomasmanogg;None;None;BVDK;21.08.2022;None;M;25;232.5;172.5;275
Maxim Schutan;maximschutan;maxim2894;NI;BVDK;01.06.2019;Deutschland;M;24;270;190;265
Marcus Lange;marcuslange;None;None;UPC-Germany;01.03.2017;Deutschland;M;31;270;195;280
Reinhold Blüml;reinholdbluml;None;None;WUAP;17.06.2019;Deutschland;M;47;290;180;275
Markus Patschke;markuspatschke;mpatschke45;None;BVDK;21.08.2022;Deutschland;M;34;295;210;310
Cathrin Monika Silberzahn;cathrinmonikasilberzahn;cathi.si;BY;BVDK;11.01.2020;Deutschland;W;31;160;110;185
Mareen Schmeelke;mareenschmeelke;None;None;BVDK;29.03.2019;Deutschland;W;27;138;78;157.5
Hannes Hahn;hanneshahn;None;None;BVDK;29.09.2021;None;M;23;250;162.5;305
Artur Dimmel;arturdimmel;None;NI;BVDK;24.07.2021;Deutschland;M;30;272.5;190;300.5
Kai Manfred Eckert;kaimanfredeckert;None;None;BVDK;30.10.2021;None;M;26;277.5;177.5;302.5
Timo Lieder;timolieder;None;None;BVDK;21.08.2022;Deutschland;M;30;270;212.5;277.5
Pascal Rothweiler;pascalrothweiler;None;NRW;Germany-UA;04.10.2019;None;M;29;262.5;165;275
Kevin Boateng;kevinboateng;None;NRW;BVDK;06.05.2017;Deutschland;M;24;250;160;302.5
Mario Maier;mariomaier;None;None;WUAP;17.06.2019;Deutschland;M;41;280;172.5;280.5
Wulf Kronemann;wulfkronemann;None;BB;BVDK;03.09.2011;None;M;43;305;220;305
Zygimantas Balsaitis;zygimantasbalsaitis;None;None;GPU;02.05.2022;Deutschland;M;29;265;160;320
Andreas Grillmeier;andreasgrillmeier;None;None;WUAP-Germany;06.05.2022;Deutschland;M;33;300;185;270
Philipp Gramlich;philippgramlich;None;None;EPF;21.03.2015;Deutschland;M;27;305;195;315
Jan Kobek;jankobek;jan_kobek;BY;BVDK;20.10.2018;Deutschland;M;22;242;142.5;291
Aaron Ben Bacha;aaronbenbacha;mojo.jojo06;BY;BVDK;16.03.2019;Deutschland;M;22;242.5;170;300
Marc Graser;marcgraser;None;None;Germany-UA;21.12.2013;None;M;39;265;180;305
Florian Henrichs;florianhenrichs;None;None;BVDK;19.09.2021;Deutschland;M;21;251.5;155;265
Özkan Savran;ozkansavran;None;None;PAGermany;30.04.2016;Deutschland;M;42;290;170;310
Ben Conrady;benconrady;None;BY;BVDK;16.03.2019;None;M;22;257.5;185;270
Tobias Kronmüller;tobiaskronmuller;None;None;BVDK;29.09.2021;None;M;23;240;170;300
Jaari Kristian Ott;jaarikristianott;der_ottler_;HH;Germany-UA;09.10.2016;Deutschland;M;23;250;180;290
Branimir Knez;branimirknez;None;None;BVDK;21.08.2022;None;M;29;257.5;155;297.5
Mike Schollbach;mikeschollbach;dynamitelifter;None;BVDK;29.03.2019;Deutschland;M;37;250;182.5;300
Charlotte Rühl;charlotteruhl;None;None;BVDK;21.08.2022;None;W;;155;87.5;167.5
Stefan Pielorz;stefanpielorz;None;None;IPF;05.06.2015;Deutschland;M;40;305;205;315
Heiko Götz;heikogotz;None;MV;UPC-Germany;05.05.2018;Deutschland;M;;290;225;280
M. Machus;mmachus;None;None;Germany-UA;01.01.1977;None;M;;;;
Max Schröder;maxschroder;None;None;UPC-Germany;31.03.2016;Deutschland;M;;260;160;280
Fabian Dick;fabiandick;fabian.dick;None;GPU;31.07.2021;Deutschland;M;29;270;215;310
Brin Hasan;brinhasan;brin_hasan7;MV;BVDK;21.09.2018;Deutschland;M;29;302.5;195;320
Cesco Virzi;cescovirzi;None;None;Germany-UA;15.12.2012;None;M;29;240;172.5;270
Markus Hinz;markushinz;None;None;Germany-UA;09.12.2006;Deutschland;M;;245;170;280
Paul Wartha;paulwartha;None;None;BVDK;29.09.2021;None;M;28;280;192.5;272.5
Angelos Hoikas;angeloshoikas;angelos_ho;BY;BVDK;15.02.2020;Deutschland;M;27;245;182.5;242.5
Lars Seifert;larsseifert;None;None;UPC-Germany;27.03.2015;Deutschland;M;34;302.5;175;260
Oliver Zamzow;oliverzamzow;None;None;BVDK;12.10.2017;Deutschland;M;39;265;162.5;315
Benedikt Wächter;benediktwachter;None;None;BVDK;29.09.2021;None;M;27;235;162.5;300
Damian Szwast;damianszwast;None;None;BVDK;21.08.2022;Deutschland;M;30;255;172.5;305
Gianluca Caputo;gianlucacaputo;None;NRW;BVDK;24.06.2022;None;M;31;197.5;142.5;270
Nikolaj Esipov;nikolajesipov;None;None;BVDK;12.10.2017;Deutschland;M;36;280;205;290
Maximilian Stock;maximilianstock;None;HE;BVDK;20.05.2022;Deutschland;M;29;225;160;275
Stefan Schultheiß;stefanschultheiss;None;None;WUAP-Germany;04.09.2021;Deutschland;M;25;260;185;270
Ivane Kobiashvili;ivanekobiashvili;None;None;WPC;14.11.2011;Deutschland;M;33;280;165;290
Kai Eckert;kaieckert;daubornbarbell;None;BVDK;29.09.2021;Deutschland;M;25;270;177.5;290
Dustin Ihmann;dustinihmann;None;NRW;BVDK;01.12.2019;None;M;25;305;207.5;302.5
Till Thomale;tillthomale;None;NRW;Germany-UA;04.10.2019;Deutschland;M;;210;165;245
Carlo Gittermann;carlogittermann;None;MV;BVDK;21.09.2018;Deutschland;M;30;305;207.5;302.5
Pino de Tommaso;pinodetommaso;None;None;WUAP-Germany;06.05.2022;Deutschland;M;31;260;177.5;270
Yannik Wenz;yannikwenz;None;None;WDFPF;25.10.2019;Deutschland;M;28;235;160;290
Daniel Acosta Florido;danielacostaflorido;None;None;WPC;26.10.2013;Deutschland;M;20;265;192.5;305
Bernhard Klinger;bernhardklinger;None;None;BVDK;29.03.2019;Deutschland;M;28;237.5;182.5;280
Koray Yalcin;korayyalcin;None;NRW;Germany-UA;09.11.2018;None;M;;210;140;270
Žygimantas Augustas Balšaitis;zygimantasaugustasbalsaitis;None;NRW;WPC-Germany;04.09.2020;None;M;;250;192.5;300
Justin Soerensen;justinsoerensen;None;None;BVDK;30.04.2021;None;M;27;250;170;280
Amandine Lamare;amandinelamare;_dwidwine;None;BVDK;21.08.2022;None;W;25;167.5;100;170
