name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Nancy Heinze;nancyheinze;None;None;BVDK;21.08.2022;None;W;;150;70;165
Jonas Beuter;jonasbeuter;None;ST;BVDK;17.10.2020;None;M;22;200;152.5;240
Annabell Pfeiffer;annabellpfeiffer;None;MV;BVDK;21.09.2018;Deutschland;W;28;115;67.5;150
Ivan Machlay;ivanmachlay;None;BB;BVDK;12.09.2015;Deutschland;M;17;190;120;215
Sebastian Lüdemann;sebastianludemann;None;MV;BVDK;21.09.2018;None;M;27;200;140;220
Julian Bäckmann;julianbackmann;None;HE;BVDK;02.11.2019;Deutschland;M;26;212.5;125;225
Benedikt Philipp;benediktphilipp;None;BY;BVDK;27.07.2019;None;M;19;190;127.5;232.5
Robert Nütz;robertnutz;None;None;BVDK;28.04.2019;None;M;32;205;117.5;237.5
Karolina Hanczuch;karolinahanczuch;None;None;BVDK;21.08.2022;None;W;23;157.5;82.5;162.5
Marcel Maczkowski;marcelmaczkowski;None;NRW;BVDK;27.04.2013;None;M;;190;170;230
Julia Möller #2;juliamoller2;None;HE;BVDK;17.08.2019;None;W;21;136;81;142.5
Simon Zeidler;simonzeidler;None;None;GPU;25.04.2017;None;M;24;200;140;235
Susanne Küttler;susannekuttler;None;BB;BVDK;12.09.2015;Deutschland;W;48;137.5;67.5;150
Thomas Kerschberger;thomaskerschberger;None;None;BVDK;19.09.2021;None;M;21;215;120;220
Patrick Möbius;patrickmobius;None;NRW;BVDK;25.08.2018;Deutschland;M;27;215;150;260
Dean Colbert;deancolbert;None;None;Germany-UA;01.12.2008;None;M;;200;100;230
Andreas Slawik;andreasslawik;None;TH;BVDK;07.10.2017;None;M;30;200;145;215
Tim Harder;timharder;None;None;GPU;02.05.2022;Deutschland;M;25;195;155;230
Maciej Janoszka;maciejjanoszka;None;None;GDFPF;21.10.2017;None;M;26;180;130;235
Jens Holschbach;jensholschbach;None;NRW;BVDK;24.06.2022;None;M;30;195;132.5;230
Max Reiz;maxreiz;None;MV;BVDK;21.09.2019;None;M;28;225;160;227.5
Marcel Marczkowski;marcelmarczkowski;None;BB;BVDK;04.10.2013;None;M;27;210;177.5;230
Nikolay Klass;nikolayklass;None;BB;BVDK;16.09.2016;Deutschland;M;29;175;140;200
Lisa Schneiders;lisaschneiders;None;RP;BVDK;12.10.2019;Deutschland;W;23;117.5;57.5;135
Bade Jana Loureiro;badejanaloureiro;None;None;WUAP-Germany;06.05.2022;Deutschland;W;27;147.5;75;142.5
Dominik Jackwerth;dominikjackwerth;None;NRW;BVDK;27.08.2016;Deutschland;M;31;230;147.5;240
Samuel Bauer;samuelbauer;None;HE;Germany-UA;14.12.2019;None;M;23;185;140;210
Phillipp Fritsch;phillippfritsch;None;HH;Germany-UA;01.09.2017;None;M;;180;102.5;202.5
Michael Gilles;michaelgilles;None;NRW;BVDK;24.06.2022;None;M;23;210;142.5;240
Michel Müller;michelmuller;None;None;BVDK;12.10.2017;Deutschland;M;22;185;115;222.5
Marius Schwarze;mariusschwarze;None;None;BVDK;21.08.2022;None;M;;230;135;255
Sebastian Nübel;sebastiannubel;None;None;Germany-UA;21.12.2013;None;M;26;125;192.5;282.5
Jerome Boitelle;jeromeboitelle;None;BY;GDFPF;13.10.2018;Deutschland;M;40;200;135;300
Vitaliy Shvarz;vitaliyshvarz;vitaliyshvarz;None;UkrainePF;14.09.2014;Deutschland;M;22;170;120;200
Anna Blattner;annablattner;None;BB;BVDK;15.06.2019;Deutschland;W;34;122.5;72.5;150
Joachim Flett;joachimflett;None;IL;WUAP;08.10.2015;Deutschland;M;57;210;170;206
Anna Sofia Meyer;annasofiameyer;None;None;BVDK;21.08.2022;None;W;27;125;70;167.5
Thorsten Thenhart;thorstenthenhart;None;BY;BVDK;12.05.2018;Deutschland;M;42;223;150;230
Stanley Khariakov;stanleykhariakov;None;None;BVDK;14.08.2021;None;M;32;190;140;195
Dorothee Beinke;dorotheebeinke;None;None;BVDK;21.08.2022;None;W;;130;77.5;140
Michael Federl;michaelfederl;None;BY;BVDK;14.05.2022;None;M;34;190;115;205
Robin Michael Müller;robinmichaelmuller;None;HE;Germany-UA;14.04.2019;None;M;28;230;145;250
Marco Honig;marcohonig;None;BY;GDFPF;07.09.2019;Deutschland;M;28;175;145;205
Maximilian Pott;maximilianpott;None;NRW;BVDK;26.09.2020;None;M;22;205;140;240
Marco Schmidt-Gursky;marcoschmidtgursky;None;TH;BVDK;02.02.2019;None;M;42;200;175;225
David Jahn;davidjahn;None;BY;BVDK;27.10.2018;None;M;29;190;157.5;230
Moritz Jäger;moritzjager;None;BY;BVDK;14.05.2022;Deutschland;M;27;170;115;200
Hannes Lange;hanneslange;None;BB;BVDK;12.09.2015;Deutschland;M;18;220;160;240
Jonas Jäger;jonasjager;None;HE;BVDK;20.05.2022;None;M;21;190;112.5;225
Milan Bogner;milanbogner;None;None;Germany-UA;21.12.2013;Deutschland;M;25;180;147.5;235
Mario Mainz;mariomainz;None;NRW;BVDK;12.10.2019;None;M;30;235;112.5;240
Alexander Bauer;alexanderbauer;None;None;UPC-Germany;01.03.2017;None;M;;230;170;190
Jan Thurn;janthurn;None;SN;BVDK;29.04.2017;Deutschland;M;29;180;137.5;240
Phuong-Anh Nguyen;phuonganhnguyen;None;BY;BVDK;30.04.2022;None;W;26;117.5;67.5;137.5
Eduard Kehr;eduardkehr;None;BW;BVDK;29.04.2017;Deutschland;M;25;220;125;265
Marvin Wollmann;marvinwollmann;None;MV;BVDK;21.09.2018;Deutschland;M;28;190;115;215
Lena Wobido;lenawobido;None;NRW;BVDK;24.06.2022;None;W;29;120;75;152.5
Lennart Alber;lennartalber;None;ST;BVDK;17.10.2020;None;M;17;230;117.5;240
Manuel Holzheimer;manuelholzheimer;None;HE;Germany-UA;17.12.2016;None;M;21;210;125;280
Vincent Rupp;vincentrupp;None;NRW;BVDK;24.06.2022;None;M;17;192.5;120;210
Thomas Ranft;thomasranft;None;ST;BVDK;17.10.2020;Deutschland;M;52;210;117.5;215
Ira Neitzel;iraneitzel;None;NRW;Germany-UA;04.10.2019;Deutschland;W;38;110;62.5;120
Stephanie Bils;stephaniebils;None;None;BVDK;21.08.2022;None;W;;150;72.5;177.5
Frank Girrulat;frankgirrulat;None;ST;BVDK;08.10.2016;Deutschland;M;56;210;170;260
Dominik Niemietz;dominikniemietz;None;BY;BVDK;23.10.2021;Deutschland;M;24;200;125;230
Marius Meinhold;mariusmeinhold;None;HE;BVDK;17.08.2019;None;M;26;200;110;212.5
Elisabeth Arzt;elisabetharzt;None;BW;BVDK;18.12.2021;None;W;16;120;82.5;152.5
Johannes Jung;johannesjung;None;HE;Germany-UA;14.04.2019;None;M;33;195;150;252.5
Dennis Beusen;dennisbeusen;None;None;GPU;25.04.2017;None;M;25;180;107.5;220
Tim Hapke;timhapke;None;None;WPC;09.11.2015;Deutschland;M;18;180;140;215
Johannes Denhard;johannesdenhard;None;None;Germany-UA;15.12.2012;None;M;27;190;132.5;232.5
Norman Mirs;normanmirs;None;NRW;Germany-UA;04.10.2019;None;M;;170;130;190
Stefan Rudolph;stefanrudolph;None;NRW;Germany-UA;09.11.2018;None;M;;200;142.5;225
Michael Gerisch;michaelgerisch;None;BY;BVDK;26.10.2019;None;M;32;185;125;245
Christo Einholz;christoeinholz;None;None;PAGermany;01.05.2015;None;M;22;180;115;225
Paul Schuster;paulschuster;None;None;GDFPF;16.10.2021;None;M;26;190;115;215
Achim Berrai;achimberrai;None;BE;Germany-UA;05.10.2015;None;M;;210;122.5;190
Tim-Florian Radicke;timflorianradicke;None;BY;BVDK;20.10.2018;None;M;22;180;130;212.5
Rick Schulze;rickschulze;None;NRW;BVDK;24.06.2022;None;M;27;180;130;212.5
Hannes Büttner;hannesbuttner;None;SN;BVDK;29.04.2017;None;M;23;180;130;215
Florian Bittorf;florianbittorf;None;BB;BVDK;16.09.2016;Deutschland;M;30;235;140;270
David Waldraff;davidwaldraff;None;HE;Germany-UA;16.12.2017;None;M;29;190;115;230
Matthias Poppe;matthiaspoppe;None;None;Germany-UA;01.12.2008;None;M;18;235;145;250
Nurullah Ersoy;nurullahersoy;None;NRW;BVDK;24.06.2022;None;M;29;200;172.5;230
Said Sakas;saidsakas;None;BY;BVDK;30.09.2017;None;M;20;210;125;215
Johann Frei;johannfrei;None;BY;BVDK;12.05.2018;Deutschland;M;43;175;100;200
Thomas Zerr;thomaszerr;None;BY;BVDK;26.10.2019;None;M;21;212.5;145;255
Johannes Bracht;johannesbracht;None;NRW;BVDK;05.05.2018;Deutschland;M;28;220;140;250
Jan Felix Durchgraf;janfelixdurchgraf;None;None;GPU;01.02.2020;Deutschland;M;39;220;122.5;222.5
David Laukamp;davidlaukamp;None;NRW;BVDK;24.06.2022;Deutschland;M;31;205;102.5;250
Nick Scharkopf;nickscharkopf;None;None;BVDK;30.10.2021;None;M;22;215;145;240
Tobias Omner;tobiasomner;None;NRW;BVDK;27.08.2016;Deutschland;M;23;175;115;227.5
Simon Stickl;simonstickl;None;HE;BVDK;10.06.2017;Deutschland;M;30;160;120;220
Frederik Föller;frederikfoller;None;HE;BVDK;15.08.2020;Deutschland;M;22;175;115;230
Robert Gartwich;robertgartwich;None;None;GPU;25.04.2017;None;M;18;230;110;230
Daniel Huber;danielhuber;None;BW;BVDK;09.09.2018;None;M;27;180;115;210
Stefan Schmidt;stefanschmidt;None;None;WUAP;17.10.2017;Deutschland;M;36;255;152.5;250
Sebastian Barzyz;sebastianbarzyz;None;BB;BVDK;16.09.2016;Deutschland;M;17;185;120;210
Lennart Söhngen;lennartsohngen;None;HE;BVDK;10.06.2017;None;M;21;195;122.5;242.5
Verena Akouete;verenaakouete;None;NRW;Germany-UA;04.10.2019;Deutschland;W;25;125;65;152.5
Norbert Kropf;norbertkropf;None;BY;BVDK;23.10.2021;None;M;42;200;140;245
Markus Klug;markusklug;None;NRW;Germany-UA;09.11.2018;None;M;;200;122.5;245
Kai Diening;kaidiening;None;None;BVDK;30.04.2021;Deutschland;M;19;200;142.5;270
Sven Hansen;svenhansen;barbellpatient;NRW;BVDK;01.12.2019;None;M;24;210;127.5;212.5
Theresa Jörger-Hickfang;theresajorgerhickfang;None;ST;BVDK;02.11.2019;None;W;29;135;80;165
Till Kruse;tillkruse;None;BY;BVDK;16.03.2019;Deutschland;M;17;205;148;232.5
Domenico Meßinger;domenicomessinger;None;BY;UPC-Germany;30.09.2017;None;M;16;165;105;200
Max Fuhrig;maxfuhrig;None;None;BVDK;28.04.2019;None;M;28;185;125;212.5
Patric Kaltenbacher;patrickaltenbacher;None;None;WUAP;14.11.2014;Deutschland;M;36;150;177.5;217.5
Lucas Baumbach;lucasbaumbach;None;TH;BVDK;24.02.2018;Deutschland;M;18;185;107.5;225
Patrick Stephan;patrickstephan;None;BY;BVDK;26.10.2019;None;M;22;182.5;135;232.5
Pascal Geweniger;pascalgeweniger;None;HE;BVDK;10.06.2017;Deutschland;M;18;160;107.5;195
Nadine Cipriano;nadinecipriano;None;SH;UPC-Germany;20.10.2018;None;W;;100;57.5;135
Rick Fischer;rickfischer;None;TH;BVDK;30.11.2019;None;M;31;182.5;115;220
Artur Bechthold;arturbechthold;None;NRW;BVDK;05.05.2018;Deutschland;M;24;190;145;220
Jonathan Bertuch;jonathanbertuch;None;TH;BVDK;24.08.2019;Deutschland;M;19;175;115;190
Daniel Bender;danielbender;None;HE;BVDK;12.05.2018;Deutschland;M;30;175;125;217.5
Thomas Schröter;thomasschroter;None;MV;BVDK;21.09.2019;None;M;48;200;160;260
Nils-Alexander Ahlbrecht;nilsalexanderahlbrecht;None;None;BVDK;08.02.2020;None;M;32;195;135;232.5
Manfred Ottergeld;manfredottergeld;None;None;Germany-UA;01.12.2009;None;M;;180;132.5;215
Florian Kuhlmann;floriankuhlmann;None;NRW;BVDK;24.06.2022;None;M;38;180;107.5;235
Henry Hempel;henryhempel;None;TH;BVDK;07.10.2017;None;M;21;200;115;240
Patrick Herr;patrickherr;None;BY;BVDK;26.10.2019;None;M;24;197.5;140;215
Uwe Krah;uwekrah;None;None;BVDK;12.10.2017;Deutschland;M;52;210;125;235
Jan Andryszak;janandryszak;None;BE;Germany-UA;05.10.2015;None;M;;185;130;230
Gareth Kerr;garethkerr;None;None;WDFPF;30.10.2015;Deutschland;M;44;192.5;132.5;220
Larissa Satzger;larissasatzger;None;BY;BVDK;12.05.2018;Deutschland;W;20;130;65;155
Morgan Dorschel;morgandorschel;None;None;BVDK;21.08.2022;None;M;;195;155;235
Oguzhan Canik;oguzhancanik;None;HE;Germany-UA;17.12.2016;None;M;23;195;120;215
Mario Schnurr;marioschnurr;None;BW;BVDK;22.09.2019;None;M;;207.5;115;235
Niels Zimmermann;nielszimmermann;None;BY;BVDK;20.10.2018;Deutschland;M;18;160;115;205
Nicolaj Besalajew;nicolajbesalajew;None;None;GRAWA;10.09.2011;None;M;;245;;330
Jens Schünemann;jensschunemann;None;BB;BVDK;04.10.2013;None;M;46;185;140;190
Thomas Thaden;thomasthaden;None;None;GDFPF;21.10.2017;None;M;23;200;147.5;225
Alfons Räß;alfonsrass;None;BY;BVDK;30.04.2022;Deutschland;M;51;180;130;237.5
Huu Phuoc Le;huuphuocle;None;MV;BVDK;21.09.2018;Deutschland;M;24;170;120;185
Christoph Kastner;christophkastner;None;TH;BVDK;08.10.2016;Deutschland;M;24;207.5;130;210
Lutz Schuricht;lutzschuricht;None;NI;BVDK;22.08.2015;Deutschland;M;63;207.5;140;207.5
Denis Dietzel;denisdietzel;None;None;UPC-Germany;03.10.2015;None;M;;205;125;225
Christopher Lisberg;christopherlisberg;None;None;GPU;03.05.2014;Deutschland;M;27;215;150;255
Kazimierz Michael Forys;kazimierzmichaelforys;None;None;EPF;05.03.2019;Deutschland;M;73;180;137.5;234
Adrian Montag;adrianmontag;None;TH;BVDK;27.01.2018;Deutschland;M;18;200;156;185
Marius Bender;mariusbender;None;None;BVDK;08.02.2020;None;M;27;185;115;217.5
Robert Powell;robertpowell;None;None;GDFPF;05.04.2015;None;M;48;190;130;220
Lisa Gibis;lisagibis;None;BY;BVDK;23.10.2021;None;W;21;115;70;140
Mikey Born;mikeyborn;None;None;BVDK;08.02.2020;None;M;27;210;162.5;240
Knut Arnold;knutarnold;None;None;BVDK;12.10.2017;None;M;46;217.5;150;227.5
Janine Oser;janineoser;None;BW;BVDK;18.12.2021;Deutschland;W;26;135;70;147.5
Anna Beckenbach;annabeckenbach;None;HE;BVDK;02.11.2019;Deutschland;W;22;115;75;160
Dirk Motzkus;dirkmotzkus;None;BY;BVDK;14.12.2019;None;M;42;220;155;210
Dennis Dietzel;dennisdietzel;None;LA;WPC;07.11.2016;Deutschland;M;26;195;125;225
Kai Blumberg;kaiblumberg;None;NRW;BVDK;01.12.2019;Deutschland;M;22;205;117.5;245
Alexander Mentzel;alexandermentzel;None;NI;BVDK;09.04.2016;None;M;21;180;122.5;220
Thomas Ziegler;thomasziegler;None;BB;BVDK;12.09.2015;Deutschland;M;48;200;160;215
Fritz Krüttgen;fritzkruttgen;None;NRW;BVDK;01.06.2019;None;M;19;212.5;137.5;220
Janek Buchholz;janekbuchholz;None;BW;BVDK;09.09.2018;None;M;23;190;132.5;260
Björn Przibilla;bjornprzibilla;None;None;BVDK;21.07.2019;None;M;28;210;147.5;225
Martin Schätzlein;martinschatzlein;None;BY;BVDK;30.04.2022;None;M;21;220;117.5;210
Kim Kevin Kohl;kimkevinkohl;None;None;GPU;02.05.2022;Deutschland;M;20;155;107.5;195
David Mio Moritz Wolf;davidmiomoritzwolf;None;HE;BVDK;10.06.2017;Deutschland;M;25;190;112.5;180
Yunus Celik;yunuscelik;None;NRW;BVDK;01.12.2019;Deutschland;M;26;187.5;105;190
Marco Eberhardt;marcoeberhardt;None;TH;BVDK;02.02.2019;None;M;32;202.5;140;220
Niklas Einheuser;niklaseinheuser;None;None;GDFPF;05.04.2015;None;M;22;210;145;215
Chris Schnell;chrisschnell;None;NRW;Germany-UA;04.10.2019;None;M;;170;115;200
Phillip Karbstein;phillipkarbstein;None;None;IPF;01.06.2014;Deutschland;M;17;185;120;237.5
Nico Zellinger;nicozellinger;None;None;GPU;02.05.2022;Deutschland;M;29;210;142.5;275
Tino Kinding;tinokinding;None;MV;UPC-Germany;05.10.2019;None;M;;185;147.5;240
Daniela Kornitzky;danielakornitzky;None;None;BVDK;21.08.2022;None;W;;100;60;147.5
Sezen Bor;sezenbor;None;NRW;BVDK;24.06.2022;None;W;29;107.5;72.5;145
Manuel Wellenreuther;manuelwellenreuther;None;HE;Germany-UA;14.12.2019;None;M;26;200;120;220
Max Schauf;maxschauf;None;BB;BVDK;16.09.2016;Deutschland;M;18;215;120;215
Daniel Albrecht;danielalbrecht;None;NRW;BVDK;10.10.2021;Deutschland;M;34;202.5;117.5;260
Johannes Comoretto;johannescomoretto;None;BY;UPC-Germany;30.09.2017;None;M;;180;100;225
Boris Reiter;borisreiter;None;SN;UPC-Germany;08.03.2018;None;M;;207.5;150;220
Ayman Fakhar;aymanfakhar;None;NRW;BVDK;26.09.2020;None;M;18;185;112.5;225
Oliver Dittmar;oliverdittmar;None;BW;BVDK;22.09.2019;Deutschland;M;;212.5;130;232.5
Nicolai Hültenschmidt;nicolaihultenschmidt;None;BW;BVDK;22.09.2019;None;M;;200;132.5;235
Eduard Hense;eduardhense;None;None;BVDK;12.10.2017;Deutschland;M;41;190;130;225
Michael Groß;michaelgross;None;HE;BVDK;20.05.2022;None;M;41;200;137.5;260
Jan Schwandowski;janschwandowski;None;NRW;BVDK;01.06.2019;None;M;29;160;160;230
Avra Vassilopoulou;avravassilopoulou;None;None;BVDK;30.04.2021;None;W;21;130;65;145
Andrej Roller;andrejroller;None;None;GDFPF;26.03.2016;Deutschland;M;22;175;122.5;190
Tobias Hagel;tobiashagel;None;None;WDFPF;04.11.2016;Deutschland;M;29;185;125;205
Noah Redel;noahredel;None;HE;BVDK;20.05.2022;None;M;19;205;137.5;235
Rebeca Quaresma Rabelo;rebecaquaresmarabelo;None;None;BVDK;30.04.2021;None;W;19;175;70;160
Marius Bundt;mariusbundt;None;NI;BVDK;16.11.2019;None;M;23;187.5;140;225
Erik Büschel;erikbuschel;None;TH;BVDK;02.02.2019;None;M;32;205;155;210
Lennart Dauda;lennartdauda;None;BY;BVDK;23.12.2017;None;M;;210;112.5;250
Tabea Wiedenhofer;tabeawiedenhofer;None;None;BVDK;21.07.2019;Deutschland;W;;125;72.5;127.5
Luisa Mathis;luisamathis;None;HE;Germany-UA;14.12.2019;None;W;27;130;82.5;150
Steven Komer;stevenkomer;None;None;WPU;26.10.2018;Deutschland;M;23;175;130;235
Rudolf Schmunk;rudolfschmunk;None;BE;Germany-UA;05.10.2015;None;M;21;180;100;210
Irma Kujovic;irmakujovic;None;NRW;BVDK;01.12.2019;None;W;28;127.5;67.5;155
Mathis Sötje;mathissotje;None;None;BVDK;30.10.2021;None;M;25;190;147.5;210
Sina Höffmann;sinahoffmann;None;NRW;BVDK;12.10.2019;None;W;24;107.5;85;160
Andreas Fiedler;andreasfiedler;None;None;OEVK;10.07.2021;Deutschland;M;27;215;125;230
Fabian Wolff;fabianwolff;None;BY;BVDK;14.05.2022;Deutschland;M;34;180;120;240
David Hartmann;davidhartmann;None;None;Germany-UA;01.12.2009;None;M;;170;105;225
Moritz Hauck;moritzhauck;None;None;GDFPF;26.03.2016;None;M;19;180;130;200
Jannik Wolff;jannikwolff;None;None;BVDK;14.08.2021;None;M;21;205;120;250
Christiane Palmer;christianepalmer;None;None;WDFPF;25.10.2019;Deutschland;W;33;120;70;172.5
Sebastian Degener;sebastiandegener;None;SN;BVDK;10.10.2020;None;M;20;185;130;225
Christoph Liebender;christophliebender;None;None;BVDK;19.09.2021;None;M;20;210;120;217.5
Torge Trieglaff;torgetrieglaff;None;None;WUAP;05.10.2016;Deutschland;M;18;185;117.5;212.5
Tobias Bugert;tobiasbugert;None;BW;BVDK;22.09.2019;Deutschland;M;;205;142.5;225
Christoph Bachmeier;christophbachmeier;None;SN;UPC-Germany;08.03.2018;None;M;;190;105;205
Alessandro Oettinger;alessandrooettinger;None;HE;Germany-UA;15.12.2018;None;M;17;190;112.5;245
David Menner;davidmenner;None;NRW;BVDK;15.07.2022;Deutschland;M;49;155;105;182.5
Lisa-Marie Engelmann;lisamarieengelmann;None;HE;BVDK;17.08.2019;None;W;24;112.5;55;137.5
Nicolai Schwarz;nicolaischwarz;None;BY;BVDK;23.10.2021;None;M;;220;127.5;242.5
Matthias Hauers;matthiashauers;None;None;GPU;02.05.2022;Deutschland;M;30;215;120;232.5
Dominik Friedrichsen;dominikfriedrichsen;None;None;GPU;01.01.2018;None;M;28;200;182.5;230
Holger Müller;holgermuller;None;None;Germany-UA;01.12.2005;None;M;22;180;125;230
Marko Eberhardt;markoeberhardt;None;MV;BVDK;21.09.2018;None;M;31;200;132.5;215
Frank Jungmann;frankjungmann;None;NRW;BVDK;27.04.2013;Deutschland;M;;200;180;220
Hans-Peter Falk;hanspeterfalk;None;BB;BVDK;12.09.2015;Deutschland;M;63;217.5;175;210
Hanna Wang;hannawang;None;None;BVDK;12.10.2017;Deutschland;W;27;107.5;65;130
Daniel Schubert;danielschubert;None;NRW;Germany-UA;09.11.2018;None;M;;185;125;205
Thomas Boiar;thomasboiar;None;NRW;BVDK;01.12.2019;None;M;36;190;115;207.5
Alexandra Rodriguez;alexandrarodriguez;swolmaiden;None;BVDK;29.03.2019;Deutschland;W;42;105;55;145
Kurt Rooch;kurtrooch;None;None;WUAP;05.10.2016;Deutschland;M;;155;115;182.5
Michael Joachim;michaeljoachim;None;BY;BVDK;26.10.2019;None;M;22;160;120;202.5
Martin Reiner;martinreiner;None;None;UPC-Germany;27.03.2015;Deutschland;M;32;220;145;225
Pauline Leonie Scholzgart;paulineleoniescholzgart;None;NRW;BVDK;10.10.2021;None;W;24;120;62.5;140
Leroy Fernandes;leroyfernandes;None;HE;Germany-UA;16.12.2017;None;M;21;200;127.5;230
Markus Mischin;markusmischin;None;None;GDFPF;05.04.2015;None;M;20;192.5;130;207.5
Tatjana Fricke;tatjanafricke;None;ST;BVDK;02.11.2019;None;W;20;120;80;140
Tom Grube;tomgrube;None;SN;BVDK;29.04.2017;None;M;29;185;107.5;230
Philipp Olm;philippolm;None;BB;BVDK;19.09.2014;None;M;19;205;162.5;240
Sebastian Schindecker;sebastianschindecker;None;None;WPC;26.10.2013;Deutschland;M;16;185;135;240
Marcel Epmeier;marcelepmeier;None;NRW;BVDK;24.06.2022;None;M;32;175;110;230
Felix Geus;felixgeus;None;BY;BVDK;14.12.2019;None;M;22;220;140;240
Zoran Jelic;zoranjelic;None;NRW;Germany-UA;04.10.2019;Deutschland;M;33;165;110;207.5
Daniil Pysmenny;daniilpysmenny;None;HE;Germany-UA;15.12.2018;None;M;17;165;115;245
Klaus Markl;klausmarkl;None;None;UPC-Germany;01.03.2017;Deutschland;M;46;230;120;220
Hoang Nguyen #3;hoangnguyen3;None;NRW;Germany-UA;09.11.2018;None;M;;185;135;215
Leon Trillmich;leontrillmich;None;NRW;BVDK;24.06.2022;None;M;22;202.5;140;205
Janos Benkö;janosbenko;None;BB;BVDK;15.09.2012;None;M;30;147.5;110;217.5
Amon Bade;amonbade;None;ST;BVDK;17.10.2020;None;M;20;197.5;127.5;205
Heiko Swinarek;heikoswinarek;None;MV;BVDK;21.09.2018;Deutschland;M;46;190;160;230
Andreas Otto;andreasotto;None;None;BVDK;28.04.2019;None;M;;180;155;215
Arben Baruti;arbenbaruti;None;TH;BVDK;30.05.2015;None;M;;155;95;200
Charlotte Dietz;charlottedietz;None;None;BVDK;19.09.2021;None;W;19;142.5;60;155
Leonard Heuberger;leonardheuberger;None;BY;BVDK;14.05.2022;None;M;22;175;120;245
Benedict Vetter;benedictvetter;None;BW;BVDK;22.09.2019;None;M;23;140;85;180
Felix Hartmann;felixhartmann;None;HE;BVDK;20.05.2022;None;M;23;170;100;220
Frank Iding;frankiding;None;NI;BVDK;16.11.2019;None;M;24;145;100;200
Marcel Goller;marcelgoller;None;BY;BVDK;23.10.2021;None;M;27;197.5;155;190
Lennard Kaster;lennardkaster;None;NRW;BVDK;16.04.2016;None;M;20;147.5;80;200
Manuel Pfalzer;manuelpfalzer;None;None;BVDK;12.10.2017;None;M;22;160;107.5;212.5
Martin Tetzlaff;martintetzlaff;None;BY;GDFPF;13.10.2018;Deutschland;M;47;215;195;210
Alicia Boyce;aliciaboyce;None;NRW;BVDK;01.06.2019;None;W;21;105;55;140
Andreas Kölz;andreaskolz;None;None;Germany-UA;09.12.2006;None;M;36;185;112.5;197.5
Oliver Locke;oliverlocke;None;SN;BVDK;10.10.2020;None;M;32;165;105;200
Rhea Holzer;rheaholzer;None;None;BVDK;21.08.2022;Deutschland;W;29;130;75;170
Martin Wustlich;martinwustlich;None;BB;BVDK;03.09.2011;None;M;22;190;147.5;210
Klaus Leitman;klausleitman;None;None;GPC;06.06.2016;Deutschland;M;26;192.5;105;185
Nicolas Arsic;nicolasarsic;None;HH;Germany-UA;01.09.2017;None;M;;180;135;215
Dominik Grams;dominikgrams;None;None;WPF;31.10.2019;Deutschland;M;26;195;130;215
Tom Lexow;tomlexow;None;None;BVDK;09.09.2017;Deutschland;M;19;185;157.5;230
Steffen Koch;steffenkoch;None;HE;BVDK;12.05.2018;Deutschland;M;25;210;120;230
Jannick Schulze;jannickschulze;None;NI;BVDK;16.11.2019;None;M;21;165;125;207.5
Deborah Valpertz;deborahvalpertz;None;NRW;BVDK;09.12.2018;None;W;;130;60;152.5
Wilhelm Oldenburger;wilhelmoldenburger;None;None;GPU;31.07.2021;Deutschland;M;33;190;150;245
Jermaine Gebhardt;jermainegebhardt;None;NRW;Germany-UA;04.10.2019;None;M;;215;160;240
Torben Loritz;torbenloritz;None;BW;BVDK;18.12.2021;None;M;23;212.5;140;220
Michael Eschele;michaeleschele;None;None;WPF;10.11.2017;Deutschland;M;42;200;140;225
Salim König;salimkonig;None;None;BVDK;14.08.2021;None;M;32;235;165;235
Florian Ghanizada;florianghanizada;None;BB;BVDK;12.09.2015;Deutschland;M;22;172.5;142.5;200
Maximilian Regensberg;maximilianregensberg;None;None;UPC-Germany;03.10.2015;None;M;;200;112.5;250
Horst Echtner;horstechtner;None;BB;BVDK;12.09.2015;Deutschland;M;63;165;107.5;205
Laurenz Ostertag;laurenzostertag;None;None;BVDK;05.03.2022;None;M;16;180;135;190
Stephan Lerach;stephanlerach;None;BY;BVDK;12.05.2018;Deutschland;M;55;195;160;230
Cliff Andrae;cliffandrae;None;None;Germany-UA;21.12.2013;None;M;38;215;147.5;205
Philipp Zimmerer;philippzimmerer;None;NB;KNKF-SP;13.06.2015;Deutschland;M;22;170;130;210
Charlene Holland;charleneholland;None;None;UPC-Germany;31.03.2016;Deutschland;W;;130;65;140
Jonas Hinnen;jonashinnen;None;HE;BVDK;20.05.2022;None;M;22;200;130;180
Emil Tucholski;emiltucholski;None;NRW;Germany-UA;04.10.2019;None;M;19;190;135;230
Tim Franzmann;timfranzmann;None;NRW;Germany-UA;04.10.2019;None;M;22;200;115;205
Jannik Bikowski;jannikbikowski;None;BY;BVDK;26.10.2019;None;M;23;180;130;200
Benedikt Hoffahrt;benedikthoffahrt;None;HE;Germany-UA;15.12.2018;None;M;20;210;125;230
Daniel Czapla;danielczapla;None;NRW;BVDK;24.06.2022;None;M;28;190;125;232.5
Markus Müller;markusmuller;None;TH;BVDK;07.10.2017;None;M;24;190;125;220
Karl Petersen;karlpetersen;None;NI;BVDK;01.06.2019;None;M;20;202.5;140;235
Paula Lepper;paulalepper;None;HE;BVDK;20.05.2022;None;W;21;123;72.5;120
