name;openpl;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Denise Herber;deniseherber;deniseherber_;None;Ireland-UA;27.11.2021;Germany;F;30;551.1;275.5;562.1
Nadia Otter;nadiaotter;None;SN;UPC-Germany;08.03.2018;Germany;F;34;518.1;326.2;541.2
Sergej Moser;sergejmoser;None;MOW;BB;14.05.2010;Germany;M;33;887.3;556.6;760.6
Sascha Stendebach;saschastendebach;sascha_stendebach;None;EPF;03.09.2021;Germany;M;30;617.3;462.9;822.3
Marvin Engel;marvinengel;marvmalloww;None;WRPF-Ireland;06.07.2019;Germany;M;25;716.5;413.3;727.5
Herbert Czeplinski;herbertczeplinski;None;MV;UPC-Germany;10.03.2019;Germany;M;20;815.7;551.1;727.5
Joshua Wright;joshuawright1;None;None;IPF;06.06.2022;Germany;M;36;534.6;402.3;672.4
Andrej Mostovenko;andrejmostovenko;None;BE;Germany-UA;05.10.2015;Germany;M;25;661.4;407.8;705.4
Holger Kuttroff;holgerkuttroff;None;MOW;BB;14.05.2010;Germany;M;40;881.8;496;749.5
Julien Borg;julienborg;None;None;GPU;31.07.2021;Germany;M;29;672.4;440.9;672.4
Nino Kuhn;ninokuhn;nino_kuhn;None;WUAP;17.06.2019;Germany;M;27;551.1;358.2;573.2
Marcel Rothauszky;marcelrothauszky;None;None;GPU;31.07.2021;Germany;M;26;738.5;474;705.4
Max Kleinwächter;maxkleinwachter;maxkleinwaechter;None;IrishPO;04.09.2021;Germany;M;25;716.5;451.9;661.4
Leonidas Arkona;leonidasarkona;None;NRW;Germany-UA;04.10.2019;None;M;0;793.6;518.1;727.5
Nico Viduka;nicoviduka;None;None;GPU;31.07.2021;Germany;M;28;661.4;468.4;727.5
Dietmar Zint;dietmarzint;None;None;UPC-Germany;01.03.2017;Germany;M;0;804.7;529.1;705.4
Pascal Suckow;pascalsuckow;yuribeuga;None;IPF;06.06.2022;Germany;M;33;650.3;396.8;694.4
Pijus Alisauskas;pijusalisauskas;pijus_ask;None;BVDK;21.08.2022;Germany;M;23;578.7;414.4;633.8
Konrad Burghardt;konradburghardt;konradburghardt;None;BVDK;29.03.2019;Germany;M;44;644.8;474;644.8
Paul-Johannes Heddrich;pauljohannesheddrich;None;None;BVDK;29.03.2019;Germany;M;27;684.5;418.8;793.6
Erik Knöfler;erikknofler;None;None;UPC-Germany;31.03.2016;Germany;M;0;683.4;396.8;683.4
Gundula Von Bachhaus;gundulavonbachhaus;None;None;Germany-UA;01.12.2009;None;F;0;308.6;248;440.9
Maximilian Heidenreich;maximilianheidenreich;None;None;BVDK;21.08.2022;None;M;0;688.9;424.4;760.6
Andreas Reiz;andreasreiz;reizpower;None;BVDK;29.09.2021;Germany;M;36;699.9;418.8;760.6
Jeffrey Podszuweit;jeffreypodszuweit;None;None;GPC;02.06.2014;Germany;M;36;529.1;403.4;575.4
Paul Markwart;paulmarkwart;None;None;BVDK;29.09.2021;Germany;M;33;551.1;407.8;639.3
Christian Möller;christianmoller;None;MV;UPC-Germany;05.10.2019;Germany;M;0;777.1;485;779.3
Albin Hasanović;albinhasanovic;None;None;GPC;18.10.2021;Germany;M;31;749.5;462.9;738.5
Sarah Klein;sarahklein1;kleinesdelta;None;IPF;06.06.2022;Germany;F;34;303.1;176.3;385.8
Jacqueline Ulrich;jacquelineulrich;None;None;BVDK;21.08.2022;Germany;F;26;336.2;198.4;380.3
Maximilian Eisinger;maximilianeisinger;max.eisen;None;BVDK;25.05.2019;Germany;M;26;595.2;374.8;628.3
Octavian Buhociu;octavianbuhociu;None;None;BVDK;19.09.2021;None;M;22;661.4;396.8;617.3
Zachariah Ampofo;zachariahampofo;None;None;BVDK;21.08.2022;None;M;27;556.6;369.2;639.3
Florian Bamberg;florianbamberg;None;None;GPU;02.05.2022;Germany;M;24;606.2;314.1;639.3
Marcel Boeglin;marcelboeglin;moccy_powerbuilding;NRW;Germany-UA;04.10.2019;None;M;27;529.1;347.2;600.7
Michael Schrott;michaelschrott;None;None;WPC;26.10.2013;Germany;M;40;711;485;699.9
Francesco Virzi;francescovirzi;headcoach_virzi;None;IPF;05.06.2015;Germany;M;31;611.7;418.8;633.8
Hakan Özkurt;hakanozkurt;None;None;BVDK;21.08.2022;Germany;M;24;578.7;352.7;606.2
