name;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Silas Kracht;None;None;BVDK;30.09.2017;None;M;18;190;130;240
Julian Schnurr;None;BW;BVDK;09.09.2018;Deutschland;M;23~;205;140;217,5
Christian Klöble;None;BW;BVDK;22.09.2019;None;M;31~;230;160;265
Ralf Daubner;None;None;Germany-UA;01.12.2009;None;M;32;240;170;235
Fabian Kapfer;None;None;BVDK;29.09.2021;None;M;30~;207,5;132,5;230
Marius Wittpoth;None;None;GPU;03.05.2014;None;M;23;210;145;250
Bernhard Kotzot;None;HE;BVDK;12.05.2018;Deutschland;M;49;215;145;232,5
Ahmet Apari;None;BY;BVDK;16.03.2019;Deutschland;M;20;250;162,5;260
Lennard Fiedel;None;None;BVDK;21.08.2022;None;M;25~;215;135;252,5
Jonas Fleck;None;BY;BVDK;16.03.2019;Deutschland;M;21~;220;150;230
Lukas Benedikt Marten;None;NI;BVDK;16.11.2019;None;M;22;210;167,5;227,5
Matthias Weinand;None;NRW;Germany-UA;04.10.2019;Deutschland;M;28;250;155;230
Jan Eric Leitz;None;None;GDFPF;16.10.2021;None;M;35;232,5;140;270
Artur Kantarev;None;None;BVDK;29.03.2019;Deutschland;M;24;235;155;250
Maximilian Rabe;None;None;BVDK;21.08.2022;None;M;;185;120;222,5
Yannik Russok;None;BY;BVDK;20.10.2018;None;M;22;240;147,5;282,5
Eren Demirtas;None;NRW;BVDK;24.06.2022;None;M;22;220;162,5;225
Johannes Leutgeb;None;BY;BVDK;14.05.2022;None;M;25~;230;157,5;260
Patrick Rädle;None;None;BVDK;05.03.2022;None;M;24~;180;132,5;250
Marco Binder;None;None;BVDK;21.08.2022;Deutschland;M;27;207,5;160;235
Fiona Feuerer;flummy98;BY;BVDK;06.10.2018;Deutschland;W;19~;115;100;140
Philipp Ndeiy;None;None;Germany-UA;19.12.2015;None;M;23;215;162,5;250
Bianca Voitek;None;None;GPC;06.06.2016;Deutschland;W;30;125;87,5;135
Dmytro Khodyryev;None;None;WPF;10.11.2017;Deutschland;M;27;230;185;240
Anna Jonasch;None;None;BVDK;12.10.2017;None;W;29;150;65;170
Omer Ramovic;None;HE;Germany-UA;14.04.2019;None;M;26;220;145;270
Sebastian Heger;None;BY;BVDK;03.08.2019;Deutschland;M;26~;230;137,5;230
Max Quinque;None;None;BVDK;28.04.2019;None;M;26;195;132,5;242,5
Christoph Splisteser;None;SN;UPC-Germany;08.03.2018;None;M;20~;230;147,5;265
Pascal Thier;None;MV;BVDK;21.09.2018;Deutschland;M;26~;240;155;275
Alexander Jung;None;HH;Germany-UA;01.09.2017;None;M;36;250;115;275
Matthias Kuschelmeister;None;HE;Germany-UA;14.04.2019;None;M;29;215;165;260
Max Haas;None;BY;BVDK;16.03.2019;None;M;19~;190;130;210
Uwe Hering;None;BB;BVDK;16.09.2016;Deutschland;M;52~;200;170;240,5
Marc Kewitz;None;BE;Germany-UA;05.10.2015;Deutschland;M;25;215;150;265
Tino Kindling;None;None;WUAP-Germany;04.09.2021;Deutschland;M;42~;212,5;155;275
Nils Johannsen;None;NI;BVDK;16.11.2019;None;M;32;195;130;205
Sandra Beyer;bey_sandra;None;BVDK;29.03.2019;Deutschland;W;30~;145;82,5;167,5
Helena Schmidt;None;None;BVDK;29.09.2021;Deutschland;W;24;102,5;70;132,5
Paul Moujaes;None;NRW;BVDK;24.06.2022;None;M;25;235;155;240
Daniel Reim;None;NRW;Germany-UA;04.10.2019;None;M;;210;142,5;240
Thomas Schwarz;ts_pl;BW;BVDK;22.09.2019;None;M;;222,5;132,5;245
Enis Kazic;None;BY;BVDK;16.03.2019;None;M;17~;241;164;260
Tamara Meyer;None;None;Germany-UA;15.12.2012;None;W;30;145;70;155
Maximilian Meyse;None;NRW;Germany-UA;04.10.2019;None;M;;205;162,5;222,5
Vitor Kieling;None;BY;BVDK;27.10.2018;Deutschland;M;27;170;170;215
Chucky-Lee Knappmann;None;NI;BVDK;16.11.2019;None;M;20;212,5;142,5;242,5
Simon Keil;None;NRW;BVDK;15.07.2022;None;M;40;187,5;115;225
Marvin Rippe;None;None;Germany-UA;15.12.2012;Deutschland;M;22;212,5;147,5;275
Florian Heissler;None;BY;BVDK;29.04.2017;Deutschland;M;22;230;160;245
Steffen Radeck;None;None;BVDK;30.10.2021;Deutschland;M;46;255;155;270
Eric Logall;None;BB;BVDK;15.06.2019;None;M;21~;215;142,5;267,5
Robert Göpfert;None;BY;BVDK;16.03.2019;None;M;22~;190;117,5;220
Tom Weltzer;None;None;BVDK;11.05.2019;Deutschland;M;20~;230;152,5;252,5
Sven Mitländer;sven_mitlaender;None;BVDK;21.08.2022;None;M;26~;217,5;140;242,5
Constantin Thase;None;NRW;BVDK;09.12.2018;Deutschland;M;22;215;135;250
Jochen Stöver;None;BB;BVDK;15.09.2012;Deutschland;M;47;200;137,5;250
Nico Dünkel;None;TH;BVDK;24.08.2019;None;M;38~;225;160;252,5
Tobias Formowitz;None;NRW;BVDK;01.12.2019;None;M;30;250;185;265
Marcel Franzen;None;None;BVDK;21.08.2022;None;M;26;230;145;260
Tobias Purrer;None;BY;BVDK;23.10.2021;None;M;;210;140;250
Silas Storbeck;None;TH;BVDK;24.08.2019;None;M;39~;200;142,5;230
André Magold;None;None;WDFPF;27.11.2021;Deutschland;M;34;242,5;170;250
Sandra Bradley;None;None;GDFPF;05.04.2015;None;W;26;140;80;180
Hamdy Khalifa;None;None;BVDK;19.09.2021;Deutschland;M;22;235;157,5;275
Tristan Hansen;None;BY;BVDK;12.05.2018;Deutschland;M;27;230;135;250
Julian Groth;None;None;GDFPF;05.04.2015;None;M;27;240;160;300
Uwe Haase;None;None;UPC-Germany;31.03.2016;Deutschland;M;51~;225;175;220
Fabian Wolf;None;None;BVDK;21.08.2022;None;M;34~;200;117,5;242,5
Fabian Lindenberg;None;BE;Germany-UA;05.10.2015;None;M;;210;180;285
Sebastian Knopp;None;None;GPU;01.01.2018;None;M;28;180;125;220
Lars Görg-Nöldner;None;None;IPL;18.10.2019;Deutschland;M;36;215;140;235
Frederic Maurice Klapdor;None;NRW;BVDK;01.06.2019;None;M;23~;210;145;240
Martin Fischer;None;BB;BVDK;03.09.2011;Deutschland;M;45;230;160;265
Benjamin Wennmacher;None;None;Germany-UA;15.12.2012;None;M;24;215;175;260
Julian Korbel;None;None;WDFPF;27.04.2013;Deutschland;M;28;200;145;240
Stefanie Jakob;_.barbella._;BY;BVDK;14.05.2022;None;W;45;130;90,5;175
Thomas Beetz;None;HE;Germany-UA;15.12.2018;None;M;27;212,5;142,5;230
Robert Zühlke;None;None;GDFPF;16.10.2021;None;M;37;210;175;255
Steffen Kalz;None;NRW;BVDK;05.05.2018;Deutschland;M;22;217,5;132,5;215
Marc Drossel;None;HE;BVDK;17.08.2019;None;M;27;225;137,5;270
Sven Tröndle;None;BW;BVDK;18.12.2021;None;M;27~;220;135;245
Daniela Falck;None;None;EPF;09.03.2020;Deutschland;W;44~;122,5;72,5;160
Moritz Schlüter;None;None;GPU;02.05.2022;Deutschland;M;25;232,5;130;272,5
Martin Nold;None;BY;BVDK;26.10.2019;Deutschland;M;31;225;145;255
Markus Jeßberger;None;None;BVDK;21.08.2022;None;M;27~;235;132,5;232,5
Annika Mantel;anni.mntl;None;BVDK;21.08.2022;None;W;29;115;72,5;140
Marc James;None;None;BVDK;30.04.2021;None;M;27~;227,5;160;235
Markus Stolorz;None;HE;BVDK;29.04.2017;Deutschland;M;24;217,5;157,5;255
Myrco Griesch;None;BB;BVDK;12.09.2015;Deutschland;M;34~;170;127,5;210
Andreas Berlet;None;None;Germany-UA;19.12.2015;None;M;21;215;140;210
Ralf Bog;None;TH;BVDK;24.08.2019;None;M;27~;270;215;250
Eva Maria Butzen;None;NRW;Germany-UA;04.10.2019;None;W;;145;90;175
Sven Sester;None;None;BVDK;10.04.2022;Deutschland;M;16~;212,5;125;230
Oliver Greve;None;None;BVDK;30.10.2021;None;M;26;222,5;125;250
Melvin Kaptan;None;NI;BVDK;16.11.2019;None;M;19;210;137,5;252,5
Pascal Esterl;None;None;BVDK;12.10.2017;Deutschland;M;26;192,5;125;205
Jasper Ottenbacher;None;None;BVDK;29.09.2021;Deutschland;M;26~;195;122,5;205
Valérie von Gleichen;84kgzucker;None;BVDK;21.07.2019;Deutschland;W;26;155;80;180
Marcus Rill;None;None;BVDK;21.08.2022;None;M;27;227,5;140;255
Maximilian Kotek;None;None;WDFPF;25.10.2019;Deutschland;M;24;200;160;280
Yannik Menzen;None;NRW;BVDK;26.09.2020;None;M;19~;215;145;235
Maik Klingert;None;NRW;BVDK;15.07.2022;Deutschland;M;43;195;122,5;235
Jakob Mannherz;None;None;GDFPF;23.05.2010;Deutschland;M;25;200;140;270
Nico Vohsen;None;None;IPL;18.10.2019;Deutschland;M;22;222,5;147,5;247,5
Ben Breamer;None;NRW;BVDK;09.10.2021;None;M;17~;232,5;145;255
Philipp Hässig;None;HE;BVDK;17.08.2019;Deutschland;M;21;200,5;135;227,5
Axel Hüter;None;None;Germany-UA;15.12.2012;Deutschland;M;41;215;162,5;232,5
Paul Ehrlich;None;TH;BVDK;24.08.2019;None;M;39~;192,5;162,5;240
Sebastian Franke;None;BY;GDFPF;13.10.2018;None;M;29;220;150;265
Alex Kontschev;None;NRW;BVDK;15.07.2022;None;M;41;215;147,5;237,5
Mohammad Alfil;None;BB;BVDK;15.06.2019;None;M;22~;265;167,5;225
Marvin Krüger;None;HE;BVDK;20.05.2022;Deutschland;M;30;240;160;260
Ismael Al-kayed;None;None;BVDK;21.08.2022;None;M;;210;125;257,5
Christopher Scheier;None;None;GDFPF;05.04.2015;None;M;25;187,5;140;240
Michel Ehrlicher;None;BB;BVDK;12.09.2015;Deutschland;M;30;185;105;230
Nadiem El-Sayed;None;BB;BVDK;16.09.2016;Deutschland;M;20;187,5;122,5;217,5
Sabine Schächter;None;NRW;BVDK;24.06.2022;None;W;36;176;85;200
Jonas Maier;jj_theliftingbutcher;None;KDKS;29.08.2021;Deutschland;M;27;260;170;285
Birgit Moerke;None;BY;BVDK;23.10.2021;None;W;42~;125;75;185
Uzair Malik;None;BE;Germany-UA;05.10.2015;None;M;;177,5;132,5;215
Cathrin Mirabile;kaethe.mirabell;BW;BVDK;22.09.2019;None;W;29;125;70;152,5
Steven Hartmann;None;ST;BVDK;02.11.2019;None;M;20~;185;130;220
Tobias Unger;None;BY;BVDK;11.06.2016;Deutschland;M;27;227,5;145;250
Sascha Döhrmann;None;BY;BVDK;26.10.2019;Deutschland;M;30~;225;160;245
Paul Theurer;None;BB;BVDK;15.06.2019;None;M;20~;230;137,5;260
Marcus Siegmund;None;TH;BVDK;08.09.2018;None;M;25;190;115;210
Tim Schweers;None;MV;UPC-Germany;10.03.2019;Deutschland;M;24~;210;155;240
Vincent Schmidtke;None;HE;BVDK;20.05.2022;Deutschland;M;26;220;132,5;275
Michael Goeck;None;FL;WPC;10.11.2014;Deutschland;M;46;220;170;240
Peter Dorn;None;BY;BVDK;14.12.2019;Deutschland;M;32;180;122,5;222,5
René Schertel;None;BY;BVDK;23.10.2021;None;M;27;227,5;182,5;240
Lena Fuisting;None;None;BVDK;29.09.2021;None;W;24~;125;60;167,5
Leonard Köbel;None;HE;BVDK;20.05.2022;None;M;21~;205;120;265
Tobias Ommer;hellscream_powerlifting;None;UPC-Germany;27.03.2015;Deutschland;M;;195;115;222,5
Daniel Eckert;None;None;WUAP-Germany;04.09.2021;Deutschland;M;31~;200;170;215
Rico Selinger;None;ST;BVDK;02.11.2019;None;M;28~;225;185,5;230
Tim Greis;None;NRW;BVDK;26.09.2020;None;M;20~;190;127,5;245
Jasmin Treimer;None;NRW;BVDK;15.07.2022;Deutschland;W;45;110;60;160
Marco Fuchs;None;BY;BVDK;14.05.2022;None;M;28~;222,5;132,5;235
Sven Robin Franke;None;NRW;BVDK;24.06.2022;None;M;27;192,5;132,5;230
Pierre Schlüter;None;NRW;Germany-UA;09.11.2018;Deutschland;M;28;230;135;265
Moritz Schreiber;None;BY;BVDK;20.10.2018;None;M;21~;175;97,5;240
Moritz Bamberger;None;HE;BVDK;15.08.2020;Deutschland;M;28;192,5;112,5;255
Paul Günther;None;BB;BVDK;16.09.2016;Deutschland;M;20;220;162,5;252,5
Illia Shokotko;None;None;BVDK;12.10.2017;Deutschland;M;26~;240;160;225
Florian Theisen;None;None;GDFPF;05.04.2015;None;M;22;220;120;240
Dominik Haider;None;BY;BVDK;26.10.2019;None;M;17~;225;127,5;240
Marc Heese;None;NI;BVDK;01.06.2019;None;M;27~;225;140;265
Hendrik Fischer;None;NI;BVDK;16.11.2019;None;M;19;210;105;240
Felix Droese;None;None;BVDK;19.09.2021;None;M;21~;212,5;115;265
Dimitry Sidorov;None;NRW;BVDK;05.05.2018;Deutschland;M;24;205;132,5;220
Andreas Kästner #1;None;BB;BVDK;19.09.2014;None;M;30;195;145;212,5
Julian Schramm;None;None;UPC-Germany;01.03.2017;Deutschland;M;29;205;137,5;217,5
David Schabany;None;None;BVDK;30.09.2017;None;M;20;177,5;117,5;217,5
Dr. Brita Fritsch;None;None;BVDK;29.08.2021;None;W;47~;140;65;165
Markus Eberl;None;None;GDFPF;26.03.2016;Deutschland;M;33;200;152,5;232,5
Nick Baumann;None;NRW;BVDK;24.06.2022;None;M;24;220;150;242,5
Moritz Johnen;None;NRW;BVDK;16.04.2016;Deutschland;M;19;207,5;135;210
Torben Gnajda;None;NRW;BVDK;29.08.2015;None;M;24;240;170;245
Ewgeni Derzapf;None;None;Germany-UA;17.12.2011;None;M;;215;140;225
Dale Kientopf;None;NI;BVDK;16.11.2019;None;M;22;227,5;150;245
Matthias Metz;None;BY;BVDK;26.10.2019;None;M;33~;220;135;235
Michael Guggenberger;michaelgbr;BY;BVDK;14.05.2022;None;M;30;212,5;145;242,5
Thomas Korell;None;ST;BVDK;17.10.2020;Deutschland;M;36~;215;147,5;220
Nicolas Parisot;None;BY;BVDK;23.10.2021;None;M;;200;135;250
Tom Koerner;None;None;WDFPF;14.11.2010;Deutschland;M;22;160;115;235
Maximilian Vaintroub;None;BW;BVDK;22.09.2019;Deutschland;M;17;172,5;111;192,5
Jörg Kasparek;None;None;BVDK;29.03.2019;Deutschland;M;50;205;150;235
Leon Wolff;None;HE;Germany-UA;16.12.2017;None;M;22;190;122,5;250
Konrad Dedy;None;None;UPC-Germany;27.03.2015;None;M;;250;162,5;220
Dirk Englert;None;HE;Germany-UA;15.12.2018;None;M;25;200;132,5;230
Lea Schwanenberg;None;NRW;BVDK;24.06.2022;None;W;24;115;75;192,5
Anthony Brösel;None;BY;BVDK;27.07.2019;None;M;25;250;165;252,5
Oliver Plaß;None;BY;BVDK;26.10.2019;Deutschland;M;20~;190;125;200
Jack Zwinzscher;None;BY;GDFPF;13.10.2018;None;M;32;190;150;240
Dirk Schumann;None;None;UPC-Germany;31.03.2016;Deutschland;M;;215;120;270
Bronsch Ricardo;None;HH;Germany-UA;01.09.2017;None;M;;210;155;270
Leopold Andreas Seidl;None;BY;BVDK;23.10.2021;None;M;;205;147,5;240
Marius Bosch;None;None;BVDK;10.04.2022;Deutschland;M;20~;197,5;125;200
Muhammed Ercetin;None;NRW;BVDK;09.12.2018;Deutschland;M;28;195;157,5;237,5
Damien Zaid;None;NRW;Germany-UA;04.10.2019;None;M;;220;115;250
Amelie Schmidbauer;am.s.elie;BY;BVDK;26.10.2019;None;W;27~;125;77,5;145
Aaron Jaschok;None;None;BVDK;12.10.2017;None;M;32;255;162,5;260
Andreas Buchner;None;None;UPC-Germany;01.03.2017;Deutschland;M;;185;125;210
Jeremias Büchs;None;BY;BVDK;12.05.2018;Deutschland;M;23;215;127,5;245
Sahra Pfau;None;BY;BVDK;23.10.2021;None;W;;122,5;72,5;140
Stefan Sprenger;None;HE;BVDK;29.04.2017;None;M;28;205;130;221
Raik Günterberg;None;BB;BVDK;16.09.2016;Deutschland;M;27;175;162,5;212,5
Alex Hochlov;None;BW;BVDK;22.09.2019;None;M;29;212,5;155;212,5
Björn Helms;None;HE;BVDK;20.05.2022;None;M;26~;222,5;125;275
Lukas Buschkühl;None;HH;Germany-UA;01.09.2017;None;M;;225;152,5;265
Nico Wenger;None;BY;GDFPF;13.10.2018;None;M;21;170;105;235
Wlad Pesotsky;None;None;EPF;24.11.2018;Deutschland;M;17~;205;135;217,5
Günter Barth;None;NRW;BVDK;06.05.2017;Deutschland;M;;195;135;220
Jakob Kallensee;None;None;BVDK;21.08.2022;None;M;26;210;165;235
Julia Huning;None;None;BVDK;29.09.2021;None;W;25;127,5;77,5;165
Linda Pepping;None;None;BVDK;29.09.2021;Deutschland;W;30;135;62,5;147,5
Alexander Dening;None;None;BVDK;21.08.2022;None;M;;202,5;122,5;225
Yanni Alexander Bock;None;None;BVDK;30.10.2021;None;M;29;205;130;222,5
Sebastian Schultheiß;None;SH;UPC-Germany;20.10.2018;Deutschland;M;26;220;150;240
Lutfullah Faizzadah;None;None;GDFPF;16.10.2021;None;M;29;170;150;230
Thomas Widmer;None;BW;BVDK;22.09.2019;None;M;25~;210;127,5;250
Christopher Görns;None;ST;BVDK;08.09.2018;Deutschland;M;29~;187,5;142,5;227,5
Benedict Sura;None;None;WPC;08.12.2015;Deutschland;M;22~;217,5;155;260
Anjuschka Stückmann;anjuschka_s_;NRW;BVDK;09.10.2021;None;W;27;127,5;72,5;150
Simon Grusdat;None;None;BVDK;12.10.2017;None;M;20;200;125;260
Dominik Fröhlich;None;BB;BVDK;16.09.2016;Deutschland;M;23;230;170;237,5
Marius Kautz;None;None;BVDK;30.10.2021;None;M;26;180;130;275
Vincent Keck;None;NRW;BVDK;05.05.2018;Deutschland;M;21;190;127,5;232,5
Johannes Köcher;None;HE;BVDK;20.05.2022;Deutschland;M;25~;210;145;232,5
Hjördis Dietrich;None;SN;UPC-Germany;08.03.2018;Deutschland;W;28;142,5;75;147,5
Krystof Langer;None;None;BVDK;21.08.2022;None;M;23~;202,5;145;210
Marvin Christen;None;None;BVDK;21.08.2022;Deutschland;M;;240;152,5;260
Dominic Waldenmayer;None;BW;BVDK;22.09.2019;None;M;;200;127,5;230
Christoph Seefeld;None;BB;BVDK;04.10.2013;Deutschland;M;32;235;160;245
Rustam Pitow;None;NRW;BVDK;29.08.2015;None;M;29;222,5;170;230
Dario Rosselli;None;BY;GDFPF;07.09.2019;Deutschland;M;21;195,5;127,5;200
Jannik Illa;None;NRW;Germany-UA;09.11.2018;None;M;19~;222,5;140;247,5
Jakob Bucher;None;None;BVDK;10.04.2022;Deutschland;M;22~;240;175;235
Rebekka Reinert;None;BY;BVDK;14.05.2022;None;W;15~;165;80;155
Timo Koll;None;NRW;Germany-UA;04.10.2019;None;M;;190;115;220
Mohammad Sharif Aram;None;None;GPU;01.02.2020;Deutschland;M;32;215;195;225
Anton Elzer;None;None;BVDK;12.10.2017;Deutschland;M;43;230;160;270
Benedikt Hoffarth;None;HE;Germany-UA;14.12.2019;Deutschland;M;21;235;135;255
Benjamin Glahn;None;None;BVDK;29.09.2021;Deutschland;M;32;205;145;237,5
Pascal Flor;None;BE;Germany-UA;05.10.2015;None;M;;180;130;240
Philipp Schinacher;philipp97__;MV;UPC-Germany;05.10.2019;None;M;;200;150;230
Steffen Szumeit;None;NRW;BVDK;27.04.2013;None;M;;225;150;240
Horts Meister;None;NRW;BVDK;27.04.2013;None;M;;170;165;225
Rudolf Maier;None;NRW;BVDK;29.08.2015;Deutschland;M;40;215;152,5;240
Erik Jankowski;None;SN;BVDK;10.10.2020;None;M;22~;200;135;242,5
Robin Müller;None;FL;WPC;05.11.2018;Deutschland;M;28;245;142,5;267,5
Kevin Reinfrank;None;None;BVDK;10.04.2022;Deutschland;M;28~;215;135;240
Robert Chamier-Glisztzynski;None;NI;BVDK;16.11.2019;None;M;22;197,5;145;205
Michelle Barth;None;HE;BVDK;20.05.2022;None;W;27~;135;103;135
Thomas John;None;None;IPF;04.06.2019;Deutschland;M;54~;225;135;260
Fabian Hellbach;None;NRW;Germany-UA;09.11.2018;None;M;25;190;125;262,5
Dominic Drechsel;None;None;BVDK;28.04.2019;None;M;25;202,5;127,5;222,5
Granit Dobra;None;BY;BVDK;26.10.2019;None;M;22~;220;122,5;245,5
Luis Bauer;None;BY;BVDK;20.10.2018;Deutschland;M;22;205;145;240
Courtney Evors;caevors;None;EPF;09.03.2020;Deutschland;W;40~;122,5;65;137,5
Czeranowski;None;None;Germany-UA;01.12.2007;None;M;;235;150;255
Eric Hambeck;None;None;UPC-Germany;31.03.2016;None;M;;200;172,5;207,5
Hagen Sicher;None;HE;Germany-UA;14.12.2019;None;M;22;172,5;145;270
Martin Hilpert;None;None;OEVK;08.08.2020;Deutschland;M;24;205;115;217,5
Erik Schetsche;None;None;WUAP-Germany;06.05.2022;Deutschland;M;20~;215;132,5;270
Thomas Leffers;None;None;BVDK;12.10.2017;Deutschland;M;39~;205;155;261
Ramazan Oguzkurt;None;BY;BVDK;16.03.2019;Deutschland;M;21~;202,5;127,5;225
Anton Ohneseit;None;BY;BVDK;20.10.2018;None;M;18~;227,5;137,5;237,5
Tobias Körner;None;BW;BVDK;18.12.2021;Deutschland;M;29;215;142,5;265
Wolfgang Straßer;None;BB;BVDK;19.09.2014;Deutschland;M;25;205;145;250
Andrea Dietsch;None;None;PAGermany;01.05.2015;None;W;25;130;95;175
Phuc Thinh Nguyen;None;None;BVDK;21.08.2022;None;M;25;185;107,5;220
Eric Kruse;None;None;WUAP;17.10.2017;Deutschland;M;16;230;125;250
Stephanie Bäcker;None;None;BVDK;29.09.2021;None;W;25~;122,5;75;150
Enrico Martin;eniwersunst;BY;BVDK;30.04.2022;None;M;21;192,5;112,5;210
Peter Nuß;None;BY;BVDK;23.10.2021;None;M;;180;137,5;230
Zaneta Possehl;None;None;EPF;09.03.2020;Deutschland;W;42;117,5;72,5;135
Steffen Lauffs;None;None;GPU;09.02.2019;None;M;20;190;137,5;215
Hannes Harhues;None;NRW;BVDK;01.06.2019;Deutschland;M;19~;210;115;225
Ricardo Bronsch;None;HH;Germany-UA;09.10.2016;None;M;;205;147,5;270
Manuel Körner;None;None;Germany-UA;21.12.2013;None;M;30;207,5;117,5;235
Sabrina Bajorat;None;None;BVDK;21.08.2022;None;W;33;112,5;70;150
Tobias Knaut;None;HE;BVDK;02.11.2019;Deutschland;M;23~;205;147,5;230
Timo Alexander Koll;None;NRW;BVDK;01.06.2019;None;M;18~;175;115;225
Christian Nauerz;None;NRW;Germany-UA;04.10.2019;None;M;;190;140;190
Sebastian Herbst;None;NRW;Germany-UA;09.11.2018;None;M;;190;130;235
Vitor Bassi;None;NRW;Germany-UA;04.10.2019;None;M;;170;107,5;225
Arno Schöngarth;None;SN;BVDK;24.11.2018;None;M;24;215;115;255
Leon Herrmann;None;None;GPU;02.05.2022;Deutschland;M;26;200;145;230
Christian Köhler;None;None;BVDK;29.03.2019;Deutschland;M;27;210;140;250
Jan Nils Borm;None;SN;BVDK;10.10.2020;None;M;20;240;160;287,5
Pier Preissner;None;None;BVDK;19.09.2021;None;M;21~;215;127,5;242,5
Tan Kamali;None;BY;BVDK;14.12.2019;None;M;23~;185;130;235
Pascal Schneider;None;NRW;BVDK;01.06.2019;Deutschland;M;28;210;135;240
Reiner Katzula;None;BB;BVDK;15.09.2012;Deutschland;M;58~;227,5;165;250
Monique Siwek;None;NRW;WPC-Germany;04.09.2020;Deutschland;W;23~;100;75;136
Alexej Busiak;None;None;GDFPF;26.03.2016;None;M;29;167,5;142,5;207,5
Jasmin Haas;None;NRW;BVDK;24.06.2022;None;W;17;132,5;72,5;170,5
Arved Kinder;None;None;BVDK;11.05.2019;None;M;26;220;155;250
Sven Gäde;None;ST;BVDK;25.02.2017;Deutschland;M;27;180;120;200
Kristin Ranwig;None;None;BVDK;21.08.2022;None;W;;122,5;80;145
Pierrre Schlüter;None;None;BVDK;12.10.2017;Deutschland;M;26~;225;127,5;260
Alexander Wichmann;None;None;BVDK;12.10.2017;None;M;42;190;132,5;240
Martin Füssel;None;BB;BVDK;04.10.2013;Deutschland;M;22~;180;117,5;215
Christian Thiede;None;None;WUAP;17.10.2017;Deutschland;M;34;220;165;220
Sören Jörke;None;SN;BVDK;28.04.2018;None;M;25~;190;145;212,5
Marc Müller;None;None;BVDK;12.10.2017;Deutschland;M;25;190;120;270
Scott Görges;None;ST;BVDK;02.11.2019;None;M;23~;227,5;152,5;240
Florian Bittner;None;None;BVDK;19.09.2021;None;M;22~;215;120;265
Bedirhan Sarikaya;None;NRW;BVDK;12.10.2019;None;M;19~;190;120;200
Mattis Görlitz;mattis_105kg;BY;BVDK;05.03.2022;None;M;;210;150;250
Martin Wimmer;None;BY;BVDK;20.04.2019;None;M;33;180;122,5;232,5
Dennis Greschke;None;None;BVDK;21.08.2022;None;M;;180;112,5;260
Lukas Markaschke;None;BB;BVDK;15.06.2019;Deutschland;M;29~;200;97,5;212,5
Giancarlo Mavrici;None;BB;BVDK;04.10.2013;None;M;21;195;140;240
Victor Jacob;None;SN;BVDK;28.04.2018;None;M;39~;190;135;210
Malina Müller;None;BY;BVDK;27.07.2019;None;W;26~;135;95;155
Marcel Benzler;None;None;BVDK;21.08.2022;Deutschland;M;48;235;180;250
Curtis Lamptey;None;None;BVDK;11.05.2019;Deutschland;M;28;195;132,5;225
Nicolas Weigel;None;NRW;BVDK;01.06.2019;None;M;22~;190;135;260
Jan Tenbusch;jan_tren;NRW;BVDK;09.12.2018;Deutschland;M;25;247,5;130;270
Ferdinand Sacher;None;BY;BVDK;14.12.2019;None;M;22;200;135;215
Marc Staudenmaier;None;None;BVDK;21.08.2022;None;M;28~;215;120;240
Dmitriy Kuznetsov;None;None;GPU;31.07.2021;Deutschland;M;;187,5;137,5;215
Mickael Duman;None;None;UPC-Germany;31.03.2016;Deutschland;M;29;190;130;200
Florian Dietmayr;None;BY;BVDK;23.10.2021;None;M;30;232,5;147,5;232,5
Maximilian Bührer;None;None;BVDK;19.09.2021;None;M;22~;190;170;225
Andrew Schöller;None;BY;BVDK;23.10.2021;None;M;;180,5;107,5;177,5
Jonathan Javier Fröhlich Coello;None;None;GDFPF;16.10.2021;None;M;30;200;150;250
Dominic Bienkowski;None;NI;BVDK;16.11.2019;None;M;22;205;120;250
Martin Sach;None;BW;BVDK;18.12.2021;None;M;45;175;120;212,5
Alecio Ferreira;None;MV;UPC-Germany;10.03.2019;None;M;;190;140,5;237,5
Jürgen Titz;None;BB;BVDK;19.09.2014;Deutschland;M;49;250;160;235
Matthias Stach;None;BB;BVDK;12.09.2015;Deutschland;M;36;187,5;125;240
Dmitry Sidorov;None;None;BVDK;12.10.2017;Deutschland;M;23~;185;120;205
Nico Šubic;None;NI;BVDK;16.11.2019;Deutschland;M;25;210;147,5;242,5
Juri Makuschkin;None;BY;BVDK;26.10.2019;Deutschland;M;56;200;130;215
Thomas März;None;BY;BVDK;23.10.2021;None;M;;222,5;127,5;262,5
Marco Schmid-Gursky;None;None;IPF;04.06.2019;Deutschland;M;43;225;175;237,5
Mihnea Gal;None;BY;BVDK;12.05.2018;Deutschland;M;17~;202,5;120;230
Jonas Speidel;None;None;WUAP-Germany;06.05.2022;Deutschland;M;24~;220;157,5;240
Michael Kürzinger;None;HH;Germany-UA;01.09.2017;Deutschland;M;24;215;130;240
Andreas Zwerenz;None;BY;BVDK;23.10.2021;None;M;30~;190;150;245
Daniel Hammer;None;NRW;BVDK;15.07.2022;None;M;43;222,5;157,5;227,5
Harald Nutsch;None;None;BVDK;12.10.2017;Deutschland;M;58;240;145;230
Juri Hochstetter;None;None;WPF;13.10.2016;Deutschland;M;54;215;130;270
Taro Tsutsumi;None;MV;BVDK;21.09.2018;None;M;41~;225;125;235
