name;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Stefan Weiß;None;None;BVDK;21.08.2022;None;M;;220;175;250
Vincent Moll;None;BY;BVDK;16.03.2019;Deutschland;M;20;230;152,5;270
Michael Zitzelsberger;None;None;WUAP;17.06.2019;Deutschland;M;52;300;180;315
Viktor Heckel;None;None;BVDK;29.09.2021;Deutschland;M;25~;260;147,5;322,5
Teresa Grieger;None;None;BVDK;21.08.2022;None;W;;165;80;185
Nik Schöner;None;None;BVDK;12.10.2017;None;M;21;262,5;178;280
Wladimir Litvinenko;None;None;WUAP;17.10.2017;Deutschland;M;21;270;165;290
Hendrik Wobst #1;None;None;BVDK;29.09.2021;Deutschland;M;24;282,5;160;287,5
Daniel Schimmel;None;None;UPC-Germany;01.03.2017;Deutschland;M;;245;165;260
Franz Ritzer;None;None;WUAP;17.06.2019;Deutschland;M;47;255;172,5;305
Tobias Pahlke;None;None;BVDK;29.09.2021;Deutschland;M;26;237,5;150;262,5
Julian Sieveke;None;None;BVDK;19.09.2021;None;M;22~;232,5;140;277,5
Peter Schmidt;None;NRW;BVDK;15.07.2022;Deutschland;M;47;245;150;250
Saadi Zierl;None;None;BVDK;29.03.2019;Deutschland;M;25;215;140;245
Felix Jentzsch;None;None;WUAP-Germany;04.09.2021;Deutschland;M;22;265;150;245
Felix Pietzschke;None;None;BVDK;30.04.2021;None;M;26~;270;182,5;300
Jonas Mockwitz;None;None;BVDK;29.09.2021;None;M;23~;302,5;197,5;310
Jörg Müller;None;BB;BVDK;03.09.2011;Deutschland;M;44~;222,5;132,5;245
Jeffrey Poszuweit;None;NRW;Germany-UA;04.10.2019;None;M;;220;185;230
Christopher Röper;None;NRW;Germany-UA;09.11.2018;Deutschland;M;31;257,5;187,5;282,5
Lucas Hügerich;farmerstrength;BY;BVDK;12.05.2018;Deutschland;M;23~;285,5;170,5;267,5
Gregor Loosen;None;None;BVDK;12.10.2017;Deutschland;M;31;282,5;180;300
Pia Jacqueline Ruschke;None;HE;BVDK;20.05.2022;None;W;17~;160,5;82,5;181
Moritz Taschner;None;BY;BVDK;30.04.2022;Deutschland;M;19;285;210;317,5
Julia Kunzner;julia.kunzner.powerlifting;NRW;Germany-UA;04.10.2019;Deutschland;W;;150;90;170
Eduard Tepper;None;None;BVDK;29.03.2019;Deutschland;M;39~;215;165;262,5
Philipp Illgen;None;NRW;Germany-UA;04.10.2019;Deutschland;M;23~;240;160;275
Andreas Bracht;None;MOW;BB;14.05.2010;Deutschland;M;27;270;197,5;250
Otto Grasser;None;None;UPC-Germany;27.03.2015;Deutschland;M;37;265;150;260
Marc Benzler;None;None;Germany-UA;09.12.2006;None;M;;237,5;170;230
Steffen Szameit;None;NRW;BVDK;12.10.2019;Deutschland;M;29;250;167,5;300
Hauke Heß;None;None;BVDK;21.08.2022;Deutschland;M;28;232,5;175;270
Marina Lemenovskaya;None;None;GPA;05.12.2013;Deutschland;W;27~;120;95;155
Romano Rengel;None;None;UPC-Germany;31.03.2016;Deutschland;M;25~;260;180;260
Sascha Calleger;None;None;BVDK;29.03.2019;Deutschland;M;35~;237,5;170;270
Dominik Barth;None;None;GPU;02.05.2022;Deutschland;M;30;200;127,5;225
Greta Kündgen;None;HE;BVDK;20.05.2022;None;W;21~;137,5;84;155,5
Benjamin Heide;None;NRW;BVDK;24.06.2022;None;M;23;255;150;277,5
Bianca Decker;None;None;GPC;26.05.2018;Deutschland;W;32;145;85;160
Marcus Böttger;None;BB;BVDK;15.09.2012;Deutschland;M;22;265;172,5;282,5
Jana Hockenberger;None;None;BVDK;21.08.2022;Deutschland;W;25~;157,5;97,5;167,5
Manh Hung Nguyen;None;NI;BVDK;16.11.2019;None;M;33;200;132,5;222,5
Lukas Gärtner;i.am.gee;BW;BVDK;18.12.2021;Deutschland;M;24;305;185;310
Markus Heitkamp;None;None;BVDK;21.08.2022;Deutschland;M;28~;235;142,5;265
Patrick Ohleff;None;None;UPC-Germany;01.03.2017;Deutschland;M;35;290;190;300
Semih Aygün;None;BW;BVDK;18.12.2021;None;M;19~;230;175,5;270
Andreas Hain;None;None;BVDK;21.08.2022;None;M;24~;260;145;270
Helmut Purwanto;None;NRW;BVDK;15.07.2022;None;M;42;260;172,5;275
Marcel Tauche;None;None;UPC-Germany;01.03.2017;Deutschland;M;25~;253;145;240
Torben Werner;None;None;Germany-UA;17.12.2011;Deutschland;M;;235;170;300
Patrick Schiffner;None;None;BVDK;12.10.2017;Deutschland;M;38~;215;155,5;222,5
Lea Kannowsky;strongleali;NRW;Germany-UA;04.10.2019;Deutschland;W;;125;82,5;152,5
Dominik Pahl;power.pahl;BB;BVDK;16.09.2016;Deutschland;M;24;267,5;185;290
Lea De Fries;None;None;BVDK;21.08.2022;None;W;24;167,5;95;180
René Ullerich;None;None;BVDK;29.03.2019;Deutschland;M;40~;265;170;275
Tom Milsch;None;None;BVDK;14.08.2021;None;M;27~;220;140;275
Florian Schnurpfeil;None;None;BVDK;19.09.2021;None;M;22~;250;170;292,5
Dominik Fey;None;BW;BVDK;18.12.2021;Deutschland;M;29;222,5;125;290
